# Region type : patch inlet
# Faces  :     460
# Area   :     7.5346137e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
5.56756e-05    	(2.8681755e+00 4.4864976e-04 -2.2503543e+00)	1.0109805e+05	2.9398716e+02	1.1953021e+00
5.60513e-05    	(2.8939702e+00 4.5620037e-04 -2.2708753e+00)	1.0110529e+05	2.9398693e+02	1.1953887e+00
5.64269e-05    	(2.9198103e+00 4.6392529e-04 -2.2914353e+00)	1.0111253e+05	2.9398670e+02	1.1954752e+00
5.68025e-05    	(2.9456912e+00 4.7176672e-04 -2.3120234e+00)	1.0111977e+05	2.9398647e+02	1.1955616e+00
5.71781e-05    	(2.9715905e+00 4.7970047e-04 -2.3326084e+00)	1.0112700e+05	2.9398624e+02	1.1956481e+00
5.75538e-05    	(2.9974935e+00 4.8749792e-04 -2.3531693e+00)	1.0113423e+05	2.9398601e+02	1.1957345e+00
5.79294e-05    	(3.0234340e+00 4.9476912e-04 -2.3737393e+00)	1.0114146e+05	2.9398577e+02	1.1958210e+00
5.8305e-05     	(3.0494725e+00 5.0114912e-04 -2.3943827e+00)	1.0114868e+05	2.9398554e+02	1.1959073e+00
5.86807e-05    	(3.0756040e+00 5.0653370e-04 -2.4151097e+00)	1.0115590e+05	2.9398529e+02	1.1959937e+00
5.90563e-05    	(3.1018264e+00 5.1113073e-04 -2.4359323e+00)	1.0116312e+05	2.9398505e+02	1.1960800e+00
5.94319e-05    	(3.1281361e+00 5.1558707e-04 -2.4568471e+00)	1.0117033e+05	2.9398480e+02	1.1961663e+00
5.98076e-05    	(3.1545061e+00 5.2065942e-04 -2.4778255e+00)	1.0117755e+05	2.9398456e+02	1.1962526e+00
6.01832e-05    	(3.1809179e+00 5.2611255e-04 -2.4988446e+00)	1.0118475e+05	2.9398430e+02	1.1963389e+00
6.05588e-05    	(3.2073426e+00 5.3209510e-04 -2.5198740e+00)	1.0119196e+05	2.9398405e+02	1.1964251e+00
6.09344e-05    	(3.2337784e+00 5.3796662e-04 -2.5409118e+00)	1.0119916e+05	2.9398379e+02	1.1965113e+00
6.13101e-05    	(3.2602301e+00 5.4300995e-04 -2.5619678e+00)	1.0120636e+05	2.9398354e+02	1.1965975e+00
6.16857e-05    	(3.2866981e+00 5.4693136e-04 -2.5830455e+00)	1.0121356e+05	2.9398328e+02	1.1966836e+00
6.20613e-05    	(3.3131932e+00 5.5005802e-04 -2.6041562e+00)	1.0122076e+05	2.9398301e+02	1.1967698e+00
6.2437e-05     	(3.3397293e+00 5.5289099e-04 -2.6253115e+00)	1.0122795e+05	2.9398275e+02	1.1968559e+00
6.28126e-05    	(3.3662991e+00 5.5570983e-04 -2.6465048e+00)	1.0123514e+05	2.9398248e+02	1.1969420e+00
6.31882e-05    	(3.3928995e+00 5.5854656e-04 -2.6677320e+00)	1.0124232e+05	2.9398221e+02	1.1970280e+00
6.35639e-05    	(3.4195741e+00 5.6137177e-04 -2.6890354e+00)	1.0124950e+05	2.9398194e+02	1.1971140e+00
6.39395e-05    	(3.4463576e+00 5.6416885e-04 -2.7104538e+00)	1.0125668e+05	2.9398166e+02	1.1972000e+00
6.43151e-05    	(3.4732192e+00 5.6659774e-04 -2.7319584e+00)	1.0126386e+05	2.9398139e+02	1.1972860e+00
6.46908e-05    	(3.5001220e+00 5.6969327e-04 -2.7535027e+00)	1.0127103e+05	2.9398111e+02	1.1973720e+00
6.50664e-05    	(3.5270015e+00 5.7377351e-04 -2.7750143e+00)	1.0127820e+05	2.9398082e+02	1.1974579e+00
6.5442e-05     	(3.5538033e+00 5.7860012e-04 -2.7964380e+00)	1.0128537e+05	2.9398054e+02	1.1975438e+00
6.58176e-05    	(3.5805125e+00 5.8370904e-04 -2.8177635e+00)	1.0129254e+05	2.9398025e+02	1.1976297e+00
6.61933e-05    	(3.6071696e+00 5.8809314e-04 -2.8390506e+00)	1.0129971e+05	2.9397997e+02	1.1977156e+00
6.65689e-05    	(3.6338755e+00 5.9061617e-04 -2.8604006e+00)	1.0130687e+05	2.9397968e+02	1.1978015e+00
6.69445e-05    	(3.6606446e+00 5.9149681e-04 -2.8818548e+00)	1.0131403e+05	2.9397939e+02	1.1978873e+00
6.73202e-05    	(3.6874721e+00 5.9145113e-04 -2.9033844e+00)	1.0132118e+05	2.9397909e+02	1.1979731e+00
6.76958e-05    	(3.7143717e+00 5.9214345e-04 -2.9249606e+00)	1.0132834e+05	2.9397880e+02	1.1980589e+00
6.80714e-05    	(3.7413458e+00 5.9441943e-04 -2.9465573e+00)	1.0133549e+05	2.9397850e+02	1.1981447e+00
6.84471e-05    	(3.7683779e+00 5.9741717e-04 -2.9681663e+00)	1.0134263e+05	2.9397820e+02	1.1982304e+00
6.88227e-05    	(3.7953596e+00 6.0084192e-04 -2.9897260e+00)	1.0134978e+05	2.9397789e+02	1.1983161e+00
6.91983e-05    	(3.8222877e+00 6.0504566e-04 -3.0112706e+00)	1.0135692e+05	2.9397759e+02	1.1984018e+00
6.95739e-05    	(3.8492027e+00 6.0895652e-04 -3.0328650e+00)	1.0136406e+05	2.9397728e+02	1.1984875e+00
6.99496e-05    	(3.8760856e+00 6.1267439e-04 -3.0544769e+00)	1.0137120e+05	2.9397697e+02	1.1985731e+00
7.03252e-05    	(3.9029507e+00 6.1672987e-04 -3.0760904e+00)	1.0137834e+05	2.9397667e+02	1.1986588e+00
7.07008e-05    	(3.9298241e+00 6.2109530e-04 -3.0976913e+00)	1.0138547e+05	2.9397635e+02	1.1987444e+00
7.10765e-05    	(3.9567563e+00 6.2511308e-04 -3.1193075e+00)	1.0139260e+05	2.9397604e+02	1.1988300e+00
7.14521e-05    	(3.9837842e+00 6.2787816e-04 -3.1409891e+00)	1.0139973e+05	2.9397572e+02	1.1989156e+00
7.18277e-05    	(4.0108497e+00 6.2886557e-04 -3.1626876e+00)	1.0140686e+05	2.9397540e+02	1.1990011e+00
7.22034e-05    	(4.0379479e+00 6.2859236e-04 -3.1844390e+00)	1.0141398e+05	2.9397508e+02	1.1990866e+00
7.2579e-05     	(4.0650273e+00 6.2938338e-04 -3.2061971e+00)	1.0142110e+05	2.9397476e+02	1.1991721e+00
7.29546e-05    	(4.0920185e+00 6.3107844e-04 -3.2278845e+00)	1.0142822e+05	2.9397443e+02	1.1992576e+00
7.33302e-05    	(4.1189292e+00 6.3377386e-04 -3.2495056e+00)	1.0143533e+05	2.9397411e+02	1.1993431e+00
7.37059e-05    	(4.1458418e+00 6.3825280e-04 -3.2711303e+00)	1.0144245e+05	2.9397378e+02	1.1994286e+00
7.40815e-05    	(4.1728283e+00 6.4419621e-04 -3.2928325e+00)	1.0144956e+05	2.9397345e+02	1.1995140e+00
7.44571e-05    	(4.1999343e+00 6.5023463e-04 -3.3146541e+00)	1.0145667e+05	2.9397312e+02	1.1995994e+00
7.48328e-05    	(4.2272480e+00 6.5487629e-04 -3.3366898e+00)	1.0146378e+05	2.9397278e+02	1.1996848e+00
7.52084e-05    	(4.2546910e+00 6.5722660e-04 -3.3588717e+00)	1.0147087e+05	2.9397244e+02	1.1997701e+00
7.5584e-05     	(4.2821172e+00 6.5786157e-04 -3.3810329e+00)	1.0147797e+05	2.9397210e+02	1.1998554e+00
7.59597e-05    	(4.3094408e+00 6.5802368e-04 -3.4030612e+00)	1.0148507e+05	2.9397176e+02	1.1999407e+00
7.63353e-05    	(4.3366671e+00 6.5846893e-04 -3.4249462e+00)	1.0149216e+05	2.9397142e+02	1.2000260e+00
7.67109e-05    	(4.3637550e+00 6.5818118e-04 -3.4466619e+00)	1.0149926e+05	2.9397107e+02	1.2001113e+00
7.70866e-05    	(4.3907930e+00 6.5901472e-04 -3.4683438e+00)	1.0150635e+05	2.9397073e+02	1.2001966e+00
7.74622e-05    	(4.4178612e+00 6.6021375e-04 -3.4900974e+00)	1.0151344e+05	2.9397038e+02	1.2002819e+00
