# Region type : patch inlet
# Faces  :     292
# Area   :     1.5721142e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
5.96051e-05    	(4.3263481e+01 -1.0774478e-01 -3.6793689e+01)	1.0805143e+05	2.9209427e+02	1.2857751e+00
6.00102e-05    	(4.3217797e+01 -1.0857777e-01 -3.6756551e+01)	1.0806054e+05	2.9209858e+02	1.2858648e+00
6.04153e-05    	(4.3178171e+01 -1.1029564e-01 -3.6724595e+01)	1.0806894e+05	2.9210233e+02	1.2859484e+00
6.08204e-05    	(4.3150720e+01 -1.1274414e-01 -3.6702934e+01)	1.0807590e+05	2.9210496e+02	1.2860197e+00
6.12256e-05    	(4.3141789e+01 -1.1575933e-01 -3.6696721e+01)	1.0808069e+05	2.9210592e+02	1.2860725e+00
6.16307e-05    	(4.3156848e+01 -1.1901178e-01 -3.6710414e+01)	1.0808268e+05	2.9210471e+02	1.2861016e+00
6.20358e-05    	(4.3199060e+01 -1.2215614e-01 -3.6746716e+01)	1.0808153e+05	2.9210106e+02	1.2861039e+00
6.24409e-05    	(4.3270937e+01 -1.2492645e-01 -3.6807747e+01)	1.0807694e+05	2.9209475e+02	1.2860770e+00
6.2846e-05     	(4.3372066e+01 -1.2735253e-01 -3.6893531e+01)	1.0806894e+05	2.9208580e+02	1.2860209e+00
6.32511e-05    	(4.3500053e+01 -1.2946788e-01 -3.7002159e+01)	1.0805777e+05	2.9207440e+02	1.2859381e+00
6.36563e-05    	(4.3651487e+01 -1.3116526e-01 -3.7130457e+01)	1.0804385e+05	2.9206087e+02	1.2858317e+00
6.40614e-05    	(4.3820845e+01 -1.3235316e-01 -3.7273603e+01)	1.0802780e+05	2.9204568e+02	1.2857072e+00
6.44665e-05    	(4.4001063e+01 -1.3302588e-01 -3.7425685e+01)	1.0801042e+05	2.9202947e+02	1.2855714e+00
6.48716e-05    	(4.4183960e+01 -1.3314697e-01 -3.7579965e+01)	1.0799265e+05	2.9201296e+02	1.2854323e+00
6.52767e-05    	(4.4361112e+01 -1.3287179e-01 -3.7729349e+01)	1.0797548e+05	2.9199690e+02	1.2852982e+00
6.56819e-05    	(4.4523900e+01 -1.3231870e-01 -3.7866463e+01)	1.0795993e+05	2.9198210e+02	1.2851780e+00
6.6087e-05     	(4.4665470e+01 -1.3169218e-01 -3.7985776e+01)	1.0794681e+05	2.9196918e+02	1.2850784e+00
6.64921e-05    	(4.4780288e+01 -1.3127992e-01 -3.8082676e+01)	1.0793678e+05	2.9195865e+02	1.2850051e+00
6.68972e-05    	(4.4864720e+01 -1.3119710e-01 -3.8154023e+01)	1.0793031e+05	2.9195089e+02	1.2849621e+00
6.73024e-05    	(4.4917379e+01 -1.3149358e-01 -3.8198587e+01)	1.0792762e+05	2.9194604e+02	1.2849513e+00
6.77075e-05    	(4.4938704e+01 -1.3218744e-01 -3.8217007e+01)	1.0792867e+05	2.9194410e+02	1.2849722e+00
6.81126e-05    	(4.4931010e+01 -1.3313075e-01 -3.8211161e+01)	1.0793319e+05	2.9194485e+02	1.2850228e+00
6.85178e-05    	(4.4896771e+01 -1.3408553e-01 -3.8182946e+01)	1.0794092e+05	2.9194808e+02	1.2851007e+00
6.89229e-05    	(4.4837482e+01 -1.3487508e-01 -3.8133483e+01)	1.0795166e+05	2.9195365e+02	1.2852042e+00
6.9328e-05     	(4.4754635e+01 -1.3529417e-01 -3.8064183e+01)	1.0796522e+05	2.9196140e+02	1.2853317e+00
6.97332e-05    	(4.4649146e+01 -1.3521497e-01 -3.7975990e+01)	1.0798142e+05	2.9197120e+02	1.2854817e+00
7.01383e-05    	(4.4522076e+01 -1.3450605e-01 -3.7869911e+01)	1.0800010e+05	2.9198291e+02	1.2856528e+00
7.05434e-05    	(4.4375026e+01 -1.3308515e-01 -3.7747099e+01)	1.0802104e+05	2.9199636e+02	1.2858431e+00
7.09486e-05    	(4.4209960e+01 -1.3104210e-01 -3.7608940e+01)	1.0804397e+05	2.9201136e+02	1.2860504e+00
7.13537e-05    	(4.4030088e+01 -1.2857579e-01 -3.7457963e+01)	1.0806851e+05	2.9202759e+02	1.2862712e+00
7.17588e-05    	(4.3840171e+01 -1.2600270e-01 -3.7298067e+01)	1.0809407e+05	2.9204461e+02	1.2865008e+00
7.2164e-05     	(4.3646132e+01 -1.2355914e-01 -3.7134104e+01)	1.0811997e+05	2.9206190e+02	1.2867333e+00
7.25691e-05    	(4.3453902e+01 -1.2156728e-01 -3.6970969e+01)	1.0814555e+05	2.9207891e+02	1.2869629e+00
7.29742e-05    	(4.3269485e+01 -1.2024538e-01 -3.6813647e+01)	1.0817011e+05	2.9209515e+02	1.2871840e+00
7.33794e-05    	(4.3098304e+01 -1.1967890e-01 -3.6666765e+01)	1.0819309e+05	2.9211015e+02	1.2873915e+00
7.37845e-05    	(4.2944761e+01 -1.1980147e-01 -3.6534333e+01)	1.0821400e+05	2.9212355e+02	1.2875815e+00
7.41897e-05    	(4.2811554e+01 -1.2044726e-01 -3.6418947e+01)	1.0823257e+05	2.9213514e+02	1.2877515e+00
7.45948e-05    	(4.2699737e+01 -1.2150800e-01 -3.6321769e+01)	1.0824872e+05	2.9214486e+02	1.2879009e+00
7.5e-05        	(4.2609955e+01 -1.2288562e-01 -3.6243454e+01)	1.0826241e+05	2.9215268e+02	1.2880295e+00
7.54051e-05    	(4.2542601e+01 -1.2420962e-01 -3.6184485e+01)	1.0827362e+05	2.9215859e+02	1.2881369e+00
7.58103e-05    	(4.2496843e+01 -1.2530464e-01 -3.6144176e+01)	1.0828246e+05	2.9216266e+02	1.2882242e+00
7.62154e-05    	(4.2471923e+01 -1.2629198e-01 -3.6121875e+01)	1.0828902e+05	2.9216497e+02	1.2882921e+00
7.66206e-05    	(4.2467941e+01 -1.2695677e-01 -3.6117548e+01)	1.0829329e+05	2.9216552e+02	1.2883405e+00
7.70257e-05    	(4.2484921e+01 -1.2714477e-01 -3.6131118e+01)	1.0829526e+05	2.9216430e+02	1.2883694e+00
7.74309e-05    	(4.2523199e+01 -1.2708215e-01 -3.6162842e+01)	1.0829489e+05	2.9216126e+02	1.2883784e+00
7.7836e-05     	(4.2582557e+01 -1.2683687e-01 -3.6212640e+01)	1.0829218e+05	2.9215642e+02	1.2883675e+00
7.82412e-05    	(4.2663839e+01 -1.2617728e-01 -3.6281316e+01)	1.0828701e+05	2.9214968e+02	1.2883356e+00
7.86463e-05    	(4.2766694e+01 -1.2515941e-01 -3.6368544e+01)	1.0827938e+05	2.9214104e+02	1.2882829e+00
7.90515e-05    	(4.2889682e+01 -1.2382432e-01 -3.6473107e+01)	1.0826941e+05	2.9213059e+02	1.2882102e+00
7.94566e-05    	(4.3030187e+01 -1.2218926e-01 -3.6592759e+01)	1.0825735e+05	2.9211853e+02	1.2881198e+00
7.98618e-05    	(4.3184935e+01 -1.2028490e-01 -3.6724676e+01)	1.0824356e+05	2.9210512e+02	1.2880146e+00
8.02669e-05    	(4.3349104e+01 -1.1825468e-01 -3.6864784e+01)	1.0822857e+05	2.9209079e+02	1.2878992e+00
8.0672e-05     	(4.3516375e+01 -1.1629813e-01 -3.7007708e+01)	1.0821310e+05	2.9207609e+02	1.2877797e+00
8.10772e-05    	(4.3679705e+01 -1.1452566e-01 -3.7147489e+01)	1.0819796e+05	2.9206164e+02	1.2876630e+00
8.14823e-05    	(4.3831822e+01 -1.1290756e-01 -3.7277834e+01)	1.0818400e+05	2.9204811e+02	1.2875564e+00
