# Field minima and maxima
# Time         	field          	min            	location(min)  	processor      	max            	location(max)  	processor      
3.16251e-06    	T              	2.9398165e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403278e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.20007e-06    	T              	2.9398135e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403324e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.23764e-06    	T              	2.9398105e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403370e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.2752e-06     	T              	2.9398075e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403417e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.31276e-06    	T              	2.9398045e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403463e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.35032e-06    	T              	2.9398015e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403509e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.38789e-06    	T              	2.9397985e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403555e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.42545e-06    	T              	2.9397954e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403601e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.46301e-06    	T              	2.9397924e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403647e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.50058e-06    	T              	2.9397893e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403693e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.53814e-06    	T              	2.9397863e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403739e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.5757e-06     	T              	2.9397832e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403785e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.61327e-06    	T              	2.9397801e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403831e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.65083e-06    	T              	2.9397771e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403877e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.68839e-06    	T              	2.9397740e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403923e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.72595e-06    	T              	2.9397709e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403969e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.76352e-06    	T              	2.9397678e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404015e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.80108e-06    	T              	2.9397647e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404061e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.83864e-06    	T              	2.9397616e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404108e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.87621e-06    	T              	2.9397584e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404154e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.91377e-06    	T              	2.9397553e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404200e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.95133e-06    	T              	2.9397522e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404246e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.9889e-06     	T              	2.9397490e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404293e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.02646e-06    	T              	2.9397459e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404339e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.06402e-06    	T              	2.9397427e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404385e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.10159e-06    	T              	2.9397395e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404431e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.13915e-06    	T              	2.9397363e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404478e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.17671e-06    	T              	2.9397332e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404524e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.21427e-06    	T              	2.9397300e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404570e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.25184e-06    	T              	2.9397268e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404616e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.2894e-06     	T              	2.9397236e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404662e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.32696e-06    	T              	2.9397203e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404708e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.36453e-06    	T              	2.9397171e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404754e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.40209e-06    	T              	2.9397139e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404800e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.43965e-06    	T              	2.9397107e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404846e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.47722e-06    	T              	2.9397074e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404892e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.51478e-06    	T              	2.9397042e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404938e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.55234e-06    	T              	2.9397009e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9404984e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.5899e-06     	T              	2.9396977e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405030e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.62747e-06    	T              	2.9396944e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405076e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.66503e-06    	T              	2.9396911e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405122e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.70259e-06    	T              	2.9396878e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405168e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.74016e-06    	T              	2.9396845e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405213e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.77772e-06    	T              	2.9396812e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405259e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.81528e-06    	T              	2.9396779e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405305e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
4.85285e-06    	T              	2.9396746e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9405350e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
