# Region type : patch inlet
# Faces  :     286
# Area   :     1.5738454e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
6.76863e-05    	(4.2573770e+01 -3.0759336e-03 -3.6337655e+01)	1.0819359e+05	2.9214941e+02	1.2872264e+00
6.80913e-05    	(4.2551067e+01 -3.1818793e-03 -3.6319241e+01)	1.0819974e+05	2.9215140e+02	1.2872908e+00
6.84963e-05    	(4.2518025e+01 -3.2202930e-03 -3.6292071e+01)	1.0820704e+05	2.9215429e+02	1.2873649e+00
6.89013e-05    	(4.2475199e+01 -3.1773758e-03 -3.6256606e+01)	1.0821543e+05	2.9215802e+02	1.2874484e+00
6.93063e-05    	(4.2423438e+01 -3.0951496e-03 -3.6213450e+01)	1.0822482e+05	2.9216252e+02	1.2875404e+00
6.97113e-05    	(4.2363890e+01 -2.9893614e-03 -3.6163437e+01)	1.0823510e+05	2.9216771e+02	1.2876399e+00
7.01163e-05    	(4.2297842e+01 -2.8609919e-03 -3.6107656e+01)	1.0824611e+05	2.9217347e+02	1.2877457e+00
7.05214e-05    	(4.2226719e+01 -2.7557106e-03 -3.6047280e+01)	1.0825771e+05	2.9217967e+02	1.2878564e+00
7.09264e-05    	(4.2151258e+01 -2.7233511e-03 -3.5982921e+01)	1.0826979e+05	2.9218625e+02	1.2879713e+00
7.13314e-05    	(4.2072586e+01 -2.7281202e-03 -3.5915622e+01)	1.0828222e+05	2.9219310e+02	1.2880890e+00
7.17364e-05    	(4.1992572e+01 -2.6896064e-03 -3.5847072e+01)	1.0829478e+05	2.9220004e+02	1.2882079e+00
7.21414e-05    	(4.1912829e+01 -2.6235379e-03 -3.5778588e+01)	1.0830730e+05	2.9220696e+02	1.2883265e+00
7.25464e-05    	(4.1834649e+01 -2.5833587e-03 -3.5711239e+01)	1.0831964e+05	2.9221373e+02	1.2884435e+00
7.29514e-05    	(4.1759509e+01 -2.5549550e-03 -3.5646391e+01)	1.0833164e+05	2.9222024e+02	1.2885576e+00
7.33564e-05    	(4.1689005e+01 -2.5472383e-03 -3.5585409e+01)	1.0834311e+05	2.9222634e+02	1.2886673e+00
7.37615e-05    	(4.1624441e+01 -2.5584400e-03 -3.5529360e+01)	1.0835392e+05	2.9223193e+02	1.2887713e+00
7.41665e-05    	(4.1566736e+01 -2.5641930e-03 -3.5479092e+01)	1.0836396e+05	2.9223693e+02	1.2888688e+00
