# Residuals    
# Time         	p              	Ux             	Uy             	Uz             	e              	k              	T              
0              	N/A	N/A	N/A	N/A	N/A
3.41751e-06    	N/A	9.5404866e-05	1.8313285e-03	9.7255835e-05	7.9953982e-04	8.4524811e-04	N/A
3.45423e-06    	N/A	9.4221269e-05	1.6810420e-03	9.6131014e-05	7.0415466e-04	8.3595455e-04	N/A
3.49095e-06    	N/A	9.3204091e-05	1.5570723e-03	9.4717041e-05	6.2817562e-04	8.2700502e-04	N/A
3.52768e-06    	N/A	9.2378781e-05	1.4636829e-03	9.3705096e-05	5.7817189e-04	8.1829603e-04	N/A
3.5644e-06     	N/A	9.1669434e-05	1.3919382e-03	9.2694482e-05	5.2116583e-04	8.0974557e-04	N/A
3.60113e-06    	N/A	9.1245324e-05	1.3344580e-03	9.2092695e-05	4.7602072e-04	8.0139747e-04	N/A
3.63785e-06    	N/A	9.0815395e-05	1.2899571e-03	9.1592544e-05	4.4712761e-04	7.9324816e-04	N/A
3.67458e-06    	N/A	9.0274212e-05	1.2503924e-03	9.1081378e-05	4.1936657e-04	7.8525307e-04	N/A
3.7113e-06     	N/A	8.9749454e-05	1.2191999e-03	9.0638782e-05	3.9669612e-04	7.7740759e-04	N/A
3.74802e-06    	N/A	8.9430932e-05	1.1878257e-03	9.0333212e-05	3.7732668e-04	7.6970494e-04	N/A
3.78475e-06    	N/A	8.8996947e-05	1.1559946e-03	9.0044494e-05	3.6069978e-04	7.6217029e-04	N/A
3.82147e-06    	N/A	8.8760833e-05	1.1213311e-03	8.9924490e-05	3.4638461e-04	7.5478494e-04	N/A
3.8582e-06     	N/A	8.8746681e-05	1.0854340e-03	9.0055812e-05	3.3343783e-04	7.4756679e-04	N/A
3.89492e-06    	N/A	8.8703404e-05	1.0506331e-03	9.0152488e-05	3.2157838e-04	7.4046945e-04	N/A
3.93164e-06    	N/A	8.8733584e-05	1.0154496e-03	9.0240046e-05	3.1078708e-04	7.3347783e-04	N/A
