# Region type : patch inlet
# Faces  :     778
# Area   :     6.2874094e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
0.0880565      	(3.6462620e+00 -3.7430491e-01 -2.8509725e+00)	1.9975763e+05	2.9389805e+02	2.3624880e+00
0.0880569      	(3.4376840e+00 -3.8223949e-01 -2.6870356e+00)	1.9976880e+05	2.9390275e+02	2.3625824e+00
0.0880572      	(3.2357053e+00 -3.8665395e-01 -2.5316792e+00)	1.9978347e+05	2.9390892e+02	2.3627064e+00
0.0880576      	(3.0641533e+00 -3.5832278e-01 -2.4031768e+00)	1.9980089e+05	2.9391625e+02	2.3628536e+00
0.088058       	(2.9341641e+00 -3.3415797e-01 -2.3050004e+00)	1.9982051e+05	2.9392451e+02	2.3630194e+00
0.0880584      	(2.8288460e+00 -3.1423883e-01 -2.2565361e+00)	1.9984204e+05	2.9393357e+02	2.3632014e+00
0.0880588      	(2.7813858e+00 -2.8385612e-01 -2.2535830e+00)	1.9986440e+05	2.9394298e+02	2.3633904e+00
0.0880591      	(2.7870177e+00 -2.7419496e-01 -2.3126992e+00)	1.9988640e+05	2.9395224e+02	2.3635763e+00
0.0880595      	(2.8993257e+00 -2.6745633e-01 -2.4270911e+00)	1.9990696e+05	2.9396089e+02	2.3637501e+00
0.0880599      	(3.1054677e+00 -2.5270092e-01 -2.5891429e+00)	1.9992514e+05	2.9396854e+02	2.3639037e+00
0.0880603      	(3.3820989e+00 -1.8208092e-01 -2.7964427e+00)	1.9993943e+05	2.9397455e+02	2.3640245e+00
0.0880607      	(3.7120064e+00 -1.4116477e-01 -3.0511799e+00)	1.9994761e+05	2.9397799e+02	2.3640936e+00
0.088061       	(4.1043071e+00 -1.3787509e-01 -3.3459482e+00)	1.9994803e+05	2.9397817e+02	2.3640971e+00
0.0880614      	(4.5485511e+00 -1.2953853e-01 -3.6937321e+00)	1.9993962e+05	2.9397464e+02	2.3640261e+00
0.0880618      	(4.9929611e+00 -1.1721912e-01 -4.0511662e+00)	1.9992265e+05	2.9396751e+02	2.3638828e+00
0.0880622      	(5.4433211e+00 -7.0867143e-02 -4.3885897e+00)	1.9989883e+05	2.9395749e+02	2.3636815e+00
0.0880626      	(5.8656393e+00 2.0673530e-02 -4.7290437e+00)	1.9987065e+05	2.9394565e+02	2.3634435e+00
0.0880629      	(6.2617500e+00 1.1953671e-01 -5.0534780e+00)	1.9983981e+05	2.9393268e+02	2.3631830e+00
0.0880633      	(6.6168820e+00 2.1914550e-01 -5.3572034e+00)	1.9980767e+05	2.9391917e+02	2.3629114e+00
0.0880637      	(6.9426163e+00 3.1959675e-01 -5.6386747e+00)	1.9977533e+05	2.9390557e+02	2.3626381e+00
0.0880641      	(7.2417019e+00 4.1490273e-01 -5.8985562e+00)	1.9974381e+05	2.9389231e+02	2.3623718e+00
0.0880645      	(7.5182173e+00 5.0882994e-01 -6.1356834e+00)	1.9971401e+05	2.9387977e+02	2.3621200e+00
0.0880648      	(7.7734537e+00 5.9838291e-01 -6.3463665e+00)	1.9968680e+05	2.9386831e+02	2.3618899e+00
0.0880652      	(8.0100041e+00 6.8069872e-01 -6.5493047e+00)	1.9966253e+05	2.9385810e+02	2.3616848e+00
0.0880656      	(8.2459413e+00 7.5730143e-01 -6.7407367e+00)	1.9964158e+05	2.9384927e+02	2.3615077e+00
0.088066       	(8.4654950e+00 8.2097150e-01 -6.9347263e+00)	1.9962407e+05	2.9384189e+02	2.3613596e+00
0.0880664      	(8.6845053e+00 8.7078344e-01 -7.1135087e+00)	1.9961025e+05	2.9383607e+02	2.3612428e+00
0.0880668      	(8.8839462e+00 9.0985973e-01 -7.2943279e+00)	1.9960027e+05	2.9383187e+02	2.3611584e+00
0.0880671      	(9.0764215e+00 9.3752900e-01 -7.4453858e+00)	1.9959442e+05	2.9382940e+02	2.3611089e+00
0.0880675      	(9.2312740e+00 9.5127671e-01 -7.5850817e+00)	1.9959307e+05	2.9382882e+02	2.3610974e+00
0.0880679      	(9.3727835e+00 9.5029781e-01 -7.6994028e+00)	1.9959647e+05	2.9383025e+02	2.3611262e+00
0.0880683      	(9.4852565e+00 9.3215704e-01 -7.7981960e+00)	1.9960440e+05	2.9383359e+02	2.3611932e+00
0.0880687      	(9.5943990e+00 8.9668631e-01 -7.8615096e+00)	1.9961682e+05	2.9383882e+02	2.3612982e+00
0.088069       	(9.6550622e+00 8.4383622e-01 -7.8929307e+00)	1.9963409e+05	2.9384609e+02	2.3614442e+00
0.0880694      	(9.6884487e+00 6.9953858e-01 -7.9065392e+00)	1.9965595e+05	2.9385530e+02	2.3616290e+00
0.0880698      	(9.6727131e+00 5.6345381e-01 -7.8619565e+00)	1.9968218e+05	2.9386635e+02	2.3618507e+00
0.0880702      	(9.5810751e+00 3.8249984e-01 -7.7551838e+00)	1.9971167e+05	2.9387876e+02	2.3621000e+00
