# Region type : patch inlet
# Faces  :     778
# Area   :     6.2874094e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
4.17528e-05    	(3.6375657e+01 -7.6596488e-02 -3.1044903e+01)	1.0859369e+05	2.9277796e+02	1.2892237e+00
4.21869e-05    	(3.6694504e+01 -7.6408614e-02 -3.1316572e+01)	1.0857003e+05	2.9275827e+02	1.2890298e+00
4.2621e-05     	(3.7191584e+01 -7.6486668e-02 -3.1744572e+01)	1.0852979e+05	2.9272579e+02	1.2886951e+00
4.30551e-05    	(3.7862792e+01 -7.6296429e-02 -3.2323197e+01)	1.0847269e+05	2.9268029e+02	1.2882172e+00
4.34893e-05    	(3.8682736e+01 -7.5829800e-02 -3.3029380e+01)	1.0840026e+05	2.9262294e+02	1.2876091e+00
4.39234e-05    	(3.9598856e+01 -7.5435191e-02 -3.3817355e+01)	1.0831667e+05	2.9255694e+02	1.2869063e+00
4.43575e-05    	(4.0554257e+01 -7.5098364e-02 -3.4637564e+01)	1.0822685e+05	2.9248608e+02	1.2861502e+00
4.47916e-05    	(4.1499604e+01 -7.4540372e-02 -3.5446542e+01)	1.0813546e+05	2.9241396e+02	1.2853807e+00
4.52258e-05    	(4.2391126e+01 -7.4464010e-02 -3.6207318e+01)	1.0804700e+05	2.9234405e+02	1.2846357e+00
4.56599e-05    	(4.3196519e+01 -7.5291515e-02 -3.6893338e+01)	1.0796512e+05	2.9227917e+02	1.2839464e+00
4.6094e-05     	(4.3897979e+01 -7.6985501e-02 -3.7489373e+01)	1.0789231e+05	2.9222128e+02	1.2833340e+00
4.65281e-05    	(4.4489020e+01 -7.9481811e-02 -3.7990828e+01)	1.0782986e+05	2.9217137e+02	1.2828095e+00
4.69623e-05    	(4.4970711e+01 -8.2849975e-02 -3.8399430e+01)	1.0777822e+05	2.9212983e+02	1.2823768e+00
4.73964e-05    	(4.5350282e+01 -8.6946289e-02 -3.8721072e+01)	1.0773715e+05	2.9209645e+02	1.2820339e+00
4.78305e-05    	(4.5634998e+01 -9.1545115e-02 -3.8962327e+01)	1.0770622e+05	2.9207093e+02	1.2817771e+00
4.82646e-05    	(4.5835397e+01 -9.6489833e-02 -3.9132792e+01)	1.0768447e+05	2.9205254e+02	1.2815984e+00
4.86988e-05    	(4.5964613e+01 -1.0160709e-01 -3.9243617e+01)	1.0767064e+05	2.9204029e+02	1.2814871e+00
4.91329e-05    	(4.6036588e+01 -1.0661188e-01 -3.9305466e+01)	1.0766332e+05	2.9203310e+02	1.2814312e+00
4.9567e-05     	(4.6061854e+01 -1.1136677e-01 -3.9327068e+01)	1.0766139e+05	2.9203009e+02	1.2814212e+00
5.00012e-05    	(4.6050648e+01 -1.1584583e-01 -3.9317659e+01)	1.0766373e+05	2.9203040e+02	1.2814474e+00
5.04353e-05    	(4.6013649e+01 -1.1985095e-01 -3.9286513e+01)	1.0766912e+05	2.9203309e+02	1.2814997e+00
5.08694e-05    	(4.5959457e+01 -1.2334876e-01 -3.9240455e+01)	1.0767664e+05	2.9203743e+02	1.2815700e+00
5.13035e-05    	(4.5896268e+01 -1.2627024e-01 -3.9186347e+01)	1.0768534e+05	2.9204269e+02	1.2816505e+00
5.17377e-05    	(4.5832056e+01 -1.2864280e-01 -3.9130954e+01)	1.0769431e+05	2.9204817e+02	1.2817333e+00
5.21718e-05    	(4.5773978e+01 -1.3046382e-01 -3.9080708e+01)	1.0770273e+05	2.9205322e+02	1.2818114e+00
5.26059e-05    	(4.5727423e+01 -1.3174387e-01 -3.9040146e+01)	1.0771000e+05	2.9205738e+02	1.2818797e+00
5.304e-05      	(4.5696656e+01 -1.3254293e-01 -3.9013057e+01)	1.0771559e+05	2.9206024e+02	1.2819337e+00
5.34742e-05    	(4.5684974e+01 -1.3292718e-01 -3.9002271e+01)	1.0771913e+05	2.9206151e+02	1.2819703e+00
5.39083e-05    	(4.5693596e+01 -1.3295734e-01 -3.9008823e+01)	1.0772046e+05	2.9206106e+02	1.2819881e+00
5.43424e-05    	(4.5722975e+01 -1.3268821e-01 -3.9033212e+01)	1.0771950e+05	2.9205885e+02	1.2819865e+00
5.47765e-05    	(4.5772879e+01 -1.3217903e-01 -3.9075243e+01)	1.0771628e+05	2.9205488e+02	1.2819656e+00
5.52107e-05    	(4.5842568e+01 -1.3146221e-01 -3.9134149e+01)	1.0771089e+05	2.9204922e+02	1.2819263e+00
5.56448e-05    	(4.5930255e+01 -1.3057640e-01 -3.9208290e+01)	1.0770353e+05	2.9204204e+02	1.2818702e+00
5.60789e-05    	(4.6033483e+01 -1.2953635e-01 -3.9295612e+01)	1.0769448e+05	2.9203356e+02	1.2817998e+00
5.6513e-05     	(4.6149173e+01 -1.2834056e-01 -3.9393522e+01)	1.0768407e+05	2.9202401e+02	1.2817178e+00
